/home/pi/.virtualenvs/nc/local/lib/python2.7/site-packages/flask_sqlalchemy/__init__.py:800: UserWarning: SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True to suppress this warning.
  warnings.warn('SQLALCHEMY_TRACK_MODIFICATIONS adds significant overhead and will be disabled by default in the future.  Set it to True to suppress this warning.')
/home/pi/.virtualenvs/nc/local/lib/python2.7/site-packages/flask/exthook.py:71: ExtDeprecationWarning: Importing flask.ext.cors is deprecated, use flask_cors instead.
  .format(x=modname), ExtDeprecationWarning
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
10.5.50.63 - - [21/Jun/2016 00:06:25] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:25] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:26] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:27] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:28] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:30] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:30] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:32] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:33] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:34] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:35] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:36] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:37] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:38] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:39] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:40] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:41] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:42] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:43] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:44] "GET /kegs HTTP/1.1" 200 -
10.5.50.63 - - [21/Jun/2016 00:06:45] "GET /kegs HTTP/1.1" 200 -
